,lga_id,lga_name,postal_town,postal_postcode,address_postcode
314,262,Greater Bendigo (C),RAYWOOD,3570,3570
315,291,Hepburn (S),Drummond,3461,3461
316,485,Mitchell (S),PUCKAPUNYAL,3662,3662
317,599,Pyrenees (S),LANDSBOROUGH,3384,3384
318,367,Knox (C),LYSTERFIELD,3156,3156
319,101,Benalla (RC),WINTON,3673,3673
320,283,Greater Shepparton (C),MERRIGUM,3618,3618
321,667,Towong (S),BETHANGA,3691,3691
322,735,Yarra (C),ABBOTSFORD,3067,3067
323,275,Greater Geelong (C),NEWTOWN,3220,3220
324,635,Stonnington (C),WINDSOR,3181,3181
325,161,Casey (C),NARRE WARREN NORTH,3804,3804
326,211,East Gippsland (S),BUCHAN,3885,3885
327,275,Greater Geelong (C),Anakie,3213,3213
328,275,Greater Geelong (C),MOOLAP,3221,3221
329,433,Maribyrnong (C),Footscray,3011,3011
330,413,Macedon Ranges (S),NEWHAM,3442,3442
331,707,Whittlesea (C),MILL PARK,3082,3082
332,262,Greater Bendigo (C),WHITE HILLS,3550,3550
333,515,Moorabool (S),Mount Egerton,3352,3352
334,83,Baw Baw (S),DROUIN,3818,3818
335,490,Moira (S),WUNGHNU,3635,3635
336,26,Ararat (RC),MAROONA,3377,3377
337,83,Baw Baw (S),JINDIVICK,3818,3818
338,667,Towong (S),TALGARNO,3691,3691
339,515,Moorabool (S),Bungaree,3352,3352
340,726,Wyndham (C),LITTLE RIVER,3211,3211
341,681,Wellington (S),COWWARR,3857,3857
342,707,Whittlesea (C),SOUTH MORANG,3752,3752
343,262,Greater Bendigo (C),BENDIGO,3552,3550
344,485,Mitchell (S),PYALONG,3521,3521
345,649,Surf Coast (S),WINCHELSEA,3241,3241
346,83,Baw Baw (S),BULN BULN,3821,3821
347,57,Ballarat (C),SOLDIERS HILL,3350,3350
348,175,Colac-Otway (S),COLAC,3250,3249
349,534,Mornington Peninsula (S),MORNINGTON,3931,3931
350,626,Southern Grampians (S),HAMILTON,3300,3300
351,57,Ballarat (C),BLOWHARD,3352,3352
352,291,Hepburn (S),CRESWICK,3363,3363
353,57,Ballarat (C),BALLARAT,3350,3350
354,91,Bayside (C),BRIGHTON,3186,3186
355,543,Mount Alexander (S),CASTLEMAINE,3450,3450
356,571,Nillumbik (S),YARRAMBAT,3091,3091
357,101,Benalla (RC),THOONA,3726,3726
358,241,Glenelg (S),CASTERTON,3311,3311
359,490,Moira (S),NATHALIA,3638,3638
360,275,Greater Geelong (C),NEWTOWN,3220,3220
361,66,Banyule (C),GREENSBOROUGH,3088,3088
362,249,Golden Plains (S),TEESDALE,3328,3328
363,161,Casey (C),CRANBOURNE,3977,3977
364,490,Moira (S),Katamatite,3649,3649
365,26,Ararat (RC),BUANGOR,3375,3375
366,225,Gannawarra (S),LEITCHVILLE,3567,3567
367,707,Whittlesea (C),WHITTLESEA,3757,3757
368,57,Ballarat (C),Nerrina,3350,3350
369,57,Ballarat (C),BALLARAT,3350,3350
370,83,Baw Baw (S),WARRAGUL,3820,3820
371,571,Nillumbik (S),KANGAROO GROUND,3097,3097
372,381,Latrobe (C),TRARALGON SOUTH,3844,3844
373,626,Southern Grampians (S),Coleraine,3315,3315
374,225,Gannawarra (S),LAKE CHARM,3581,3581
375,83,Baw Baw (S),RIPPLEBROOK,3818,3818
376,490,Moira (S),NUMURKAH,3636,3636
377,381,Latrobe (C),MOE,3825,3825
378,275,Greater Geelong (C),GEELONG,3220,3220
379,367,Knox (C),BAYSWATER,3153,3153
380,763,Yarriambiack (S),MINYIP,3392,3392
381,497,Monash (C),MULGRAVE,3170,3170
382,83,Baw Baw (S),YARRAGON,3823,3823
383,381,Latrobe (C),TYERS,3844,3844
384,83,Baw Baw (S),TRAFALGAR,3824,3824
385,562,Murrindindi (S),KINGLAKE,3763,3763
386,83,Baw Baw (S),ELLINBANK,3821,3821
387,211,East Gippsland (S),BRUTHEN,3885,3885
388,717,Wodonga (C),BARANDUDA,3691,3691
389,490,Moira (S),TUNGAMAH,3728,3728
390,145,Cardinia (S),BUNYIP,3815,3815
391,137,Campaspe (S),GUNBOWER,3566,3566
392,145,Cardinia (S),NAR NAR GOON,3812,3812
393,617,South Gippsland (S),TOORA,3962,3962
394,745,Yarra Ranges (S),MONTROSE,3765,3765
395,225,Gannawarra (S),KOONDROOK,3580,3580
396,490,Moira (S),KATUNGA,3640,3640
397,57,Ballarat (C),Magpie,3352,3352
398,11,Alpine (S),TAWONGA,3697,3697
399,83,Baw Baw (S),Narracan,3824,3824
400,83,Baw Baw (S),DROUIN,3818,3818
401,667,Towong (S),ESKDALE,3701,3701
402,83,Baw Baw (S),DARNUM,3822,3822
403,534,Mornington Peninsula (S),MOOROODUC,3933,3933
404,367,Knox (C),THE BASIN,3154,3154
405,211,East Gippsland (S),PAYNESVILLE,3880,3880
406,262,Greater Bendigo (C),EPSOM,3551,3551
407,506,Moonee Valley (C),KENSINGTON,3031,3031
408,381,Latrobe (C),HAZELWOOD NORTH,3840,3840
409,617,South Gippsland (S),MIRBOO NORTH,3871,3871
410,381,Latrobe (C),YINNAR,3869,3869
411,83,Baw Baw (S),NEERIM SOUTH,3831,3831
412,66,Banyule (C),IVANHOE,3079,3079
413,275,Greater Geelong (C),PORTARLINGTON,3223,3223
414,745,Yarra Ranges (S),THE PATCH,3792,3159
415,590,Port Phillip (C),ST KILDA,3182,3182
416,83,Baw Baw (S),LABERTOUCHE,3816,3816
417,465,Melton (C),DIGGERS REST,3427,3427
418,83,Baw Baw (S),LONGWARRY,3816,3816
419,145,Cardinia (S),Gembrook,3783,3783
420,681,Wellington (S),WURRUK,3850,3850
421,83,Baw Baw (S),WILLOW GROVE,3825,3825
422,745,Yarra Ranges (S),HODDLES CREEK,3139,3139
423,145,Cardinia (S),BEACONSFIELD UPPER,3808,3808
424,283,Greater Shepparton (C),CONGUPNA,3633,3633
425,262,Greater Bendigo (C),REDESDALE,3444,3444
426,635,Stonnington (C),MALVERN EAST,3145,3145
427,745,Yarra Ranges (S),Launching Place,3139,3139
428,460,Melbourne (C),CARLTON,3053,3053
429,506,Moonee Valley (C),ASCOT VALE,3032,3032
430,381,Latrobe (C),BOOLARRA,3870,3870
431,534,Mornington Peninsula (S),ROSEBUD,3939,3939
432,145,Cardinia (S),KOO WEE RUP,3981,3981
433,635,Stonnington (C),ARMADALE,3143,3143
434,534,Mornington Peninsula (S),MOUNT MARTHA,3934,3934
435,534,Mornington Peninsula (S),SOMERVILLE,3912,3912
436,26,Ararat (RC),WILLAURA,3379,3379
437,137,Campaspe (S),ECHUCA,3564,3564
438,211,East Gippsland (S),LAKES ENTRANCE,3909,3909
439,670,Wangaratta (RC),Myrrhee,3732,3732
440,681,Wellington (S),DEVON NORTH,3971,3971
441,643,Strathbogie (S),LONGWOOD,3665,3665
442,175,Colac-Otway (S),FORREST,3236,3236
443,189,Darebin (C),FAIRFIELD,3078,3078
444,83,Baw Baw (S),NILMA,3821,3821
445,145,Cardinia (S),GARFIELD,3814,3814
446,381,Latrobe (C),YINNAR SOUTH,3869,3869
447,145,Cardinia (S),OFFICER,3809,3809
448,525,Moreland (C),BRUNSWICK EAST,3057,3057
449,211,East Gippsland (S),ORBOST,3888,3888
450,74,Bass Coast (S),INVERLOCH,3996,3996
451,698,Whitehorse (C),SURREY HILLS,3127,3127
452,590,Port Phillip (C),SOUTH MELBOURNE,3205,3205
