LGA,Median House Price - 2019
GREATER GEELONG,510000
YARRA RANGES,680000
GOLDEN PLAINS,256500
CORANGAMITE,144500
WELLINGTON,244000
CAMPASPE,222000
LONG GULLY *no lga*,280000
BAW BAW,405000
SURF COAST,1295000
GREATER GEELONG,570000
BANYULE,905000
BALLARAT,431000
LUCKNOW *no lga*,275000
CASEY,623000
CASEY,665000
KNOX,956500
LYSTERFIELD SOUTH *no lga*,1045000
MACEDON RANGES,800000
BANYULE,914500
MACS COVE *no lga*,300000
MADDINGLEY *no lga*,460000
WELLINGTON,255000
GREATER BENDIGO,512500
MAIDSTONE *no lga*,779000
MOUNT ALEXANDER,510000
EAST GIPPSLAND,406500
MACEDON RANGES,475000
STONNINGTON,2550000
STONNINGTON,1770000
SWAN HILL,97000
GREATER GEELONG,715000
WYNDHAM,535000
MANSFIELD,456000
MARENGO *no lga*,687500
MARIBYRNONG,987500
GREATER BENDIGO,420000
MARSHALL *no lga*,486500
CENTRAL GOLDFIELDS,235500
MURRINDINDI,462500
MCCRAE *no lga*,795000
MCKENZIE HILL *no lga*,536500
GLEN EIRA,1525000
HUME,472500
MELTON,385000
MELTON,390000
MELTON,424000
KINGSTON,1028000
YARRA RANGES,682500
MILDURA,210000
MERINDA PARK *no lga*,477000
WHITTLESEA,552000
MERRIJIG (MANSFIELD) *no lga*,422500
EAST GIPPSLAND,425000
HUME,525000
PORT PHILLIP,2705000
MILDURA,310000
WHITTLESEA,654000
YARRA RANGES,415000
BALLARAT,428000
YARRIAMBIACK,114500
SOUTH GIPPSLAND,327500
WHITEHORSE,942000
MITCHELL PARK *no lga*,313000
LATROBE,210000
YARRA RANGES,630000
WHITEHORSE,1680000
WHITEHORSE,1380000
BANYULE,856000
YARRA RANGES,707500
MOONEE VALLEY,1300000
KINGSTON,1050000
YARRA RANGES,670000
GREATER SHEPPARTON,249000
KINGSTON,1010000
MORNINGTON PENINSULA,800000
MOYNE,164000
LATROBE,180000
ALPINE,294000
BALLARAT,396500
YARRA RANGES,662000
GREATER GEELONG,563000
MORNINGTON PENINSULA,1157500
YARRA RANGES,636000
MOUNT HELEN *no lga*,418500
MACEDON RANGES,775000
MORNINGTON PENINSULA,1252500
MOUNT PLEASANT *no lga*,377500
MONASH,1267000
MONASH,840000
GREATER SHEPPARTON,244500
GLEN EIRA,1241500
YARRIAMBIACK,119000
ALPINE,315000
STRATHBOGIE,414000
CASEY,590000
CASEY,1075000
CASEY,625000
MOIRA,229000
HORSHAM,148500
BAW BAW,394000
NELSON *no lga*,247500
BALLARAT,617500
MACEDON RANGES,695000
LATROBE,256000
GREATER GEELONG,435000
NEWINGTON *no lga*,495000
NEWLANDS ARM *no lga*,444000
HOBSONS BAY,1055000
MOUNT ALEXANDER,436000
NEWTOWN (GREATER GEELONG) *no lga*,825000
HINDMARSH,137000
MILDURA,430000
MOONEE VALLEY,1070000
GREATER DANDENONG,629000
GREATER DANDENONG,610000
BAW BAW,224000
GREATER GEELONG,349000
NORTH BENDIGO *no lga*,325000
GREATER GEELONG,500000
MELBOURNE,1297500
NORTH WONTHAGGI *no lga*,389000
DAREBIN,1300000
NOTTING HILL *no lga*,875500
MOIRA,252500
WHITEHORSE,950000
SWAN HILL,85000
SOUTH GIPPSLAND,370000
MORELAND,840000
MONASH,1101000
MONASH,942000
MONASH,908000
GREATER GEELONG,695000
CARDINIA,550000
OFFICER SOUTH *no lga*,686000
YARRA RANGES,748000
EAST GIPPSLAND,185500
GLEN EIRA,1467500
OSBORNE *no lga*,780000
MILDURA,99000
CARDINIA,485000
PARADISE BEACH *no lga*,200000
MANNINGHAM,1460000
KINGSTON,1155000
MELBOURNE,1480000
MORELAND,858500
